column,human_readable_label,units,definition,proxy_or_status,appears_in
growth_tolerance,Growth Tolerance,model-native or categorical; see definition/provenance,Growth Tolerance,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
handling,Handling,model-native or categorical; see definition/provenance,Handling,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv
heating_rate_C_min,Heating Rate C Min,degC min^-1,Heating Rate C Min,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
highT_attained,Hight Attained,dimensionless/proxy,Hight Attained,dimensionless/proxy,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv
high_density_attainment,High Density Attainment,model-native or categorical; see definition/provenance,High Density Attainment,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv
hold_h,Hold H,h,Hold H,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
hold_time_h,Hold Time H,h,Hold Time H,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
human_readable_axis,Human Readable Axis,model-native or categorical; see definition/provenance,Human Readable Axis,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv
human_readable_label_reference,Human Readable Label Reference,categorical/text,Human Readable Label Reference,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
human_readable_name,Human Readable Name,model-native or categorical; see definition/provenance,Human Readable Name,measured/model-output/metadata,results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
interpolation_support_flag,Interpolation Support Flag,dimensionless/proxy,Interpolation Support Flag,dimensionless/proxy,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv
interpretation,Interpretation,categorical/text,Interpretation,measured/model-output/metadata,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv
isolated_fraction,Isolated Fraction,dimensionless/proxy,Isolated Fraction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
k_PR_factor,K Pr Factor,dimensionless/proxy,K Pr Factor,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
k_closed_factor,K Closed Factor,dimensionless/proxy,K Closed Factor,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
k_exchange_factor,K Exchange Factor,dimensionless/proxy,K Exchange Factor,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
k_growth_factor,K Growth Factor,dimensionless/proxy,K Growth Factor,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
k_nuc_factor,K Nuc Factor,dimensionless/proxy,K Nuc Factor,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
k_transport_factor,K Transport Factor,dimensionless/proxy,K Transport Factor,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
label,Label,categorical/text,Label,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv
large_pore_fraction,Large Pore Fraction,dimensionless/proxy,Large Pore Fraction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
last_success_C,Last Success C,degC,Last Success C,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv
local_region_topology_changes_material_rho_dot,Local Region Topology Changes Material Rho Dot,s^-1,Local Region Topology Changes Material Rho Dot,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
local_time_s,Local Time S,s,Local Time S,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
loss_from_full,Loss From Full,model-native or categorical; see definition/provenance,Loss From Full,measured/model-output/metadata,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv
loss_reason,Loss Reason,categorical/text,Loss Reason,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/ablation_summary.csv
low_activity_exposure,Low Activity Exposure,dimensionless/proxy,Low Activity Exposure,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
lower_boundary_C,Lower Boundary C,degC,Lower Boundary C,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv
lower_boundary_flag,Lower Boundary Flag,dimensionless/proxy,Lower Boundary Flag,dimensionless/proxy,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
lower_boundary_present,Lower Boundary Present,dimensionless/proxy,Lower Boundary Present,dimensionless/proxy,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
lower_boundary_present_exact,Lower Boundary Present Exact,dimensionless/proxy,Lower Boundary Present Exact,dimensionless/proxy,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
lower_boundary_region_flag,Lower Boundary Region Flag,dimensionless/proxy,Lower Boundary Region Flag,dimensionless/proxy,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv
lower_bracketed,Lower Bracketed,model-native or categorical; see definition/provenance,Lower Bracketed,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv
map_type,Map Type,model-native or categorical; see definition/provenance,Map Type,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv
material_id,Material Id,model-native or categorical; see definition/provenance,Material Id,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv
max_R_fast,Max R Fast,model-native or categorical; see definition/provenance,Max R Fast,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv
max_reduction,Max Reduction,dimensionless/proxy,Max Reduction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv
measurement,Measurement,categorical/text,Measurement,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv
mechanism_constrained,Mechanism Constrained,categorical/text,Mechanism Constrained,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv
mechanism_group,Mechanism Group,categorical/text,Mechanism Group,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv
mechanism_loss_category,Mechanism Loss Category,categorical/text,Mechanism Loss Category,measured/model-output/metadata,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv
median_R_fast,Median R Fast,model-native or categorical; see definition/provenance,Median R Fast,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv
median_reduction,Median Reduction,dimensionless/proxy,Median Reduction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv
metric,Metric,model-native or categorical; see definition/provenance,Metric,measured/model-output/metadata,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv
migration_factor,Migration Factor,dimensionless/proxy,Migration Factor,dimensionless/proxy,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
min_reduction,Min Reduction,dimensionless/proxy,Min Reduction,dimensionless/proxy,results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv
mode,Mode,categorical/text,Mode,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv
model_layer,Model Layer,categorical/text,Model Layer,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
model_variable_constrained,Model Variable Constrained,categorical/text,Model Variable Constrained,measured/model-output/metadata,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv
node_id,Node Id,model-native or categorical; see definition/provenance,Node Id,measured/model-output/metadata,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv
note,Note,categorical/text,Note,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
nucleation_facile_meaningful,Nucleation Facile Meaningful,model-native or categorical; see definition/provenance,Nucleation Facile Meaningful,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv
nucleation_facile_pass_exact,Nucleation Facile Pass Exact,model-native or categorical; see definition/provenance,Nucleation Facile Pass Exact,measured/model-output/metadata,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv
numerical_censor,Numerical Censor,model-native or categorical; see definition/provenance,Numerical Censor,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
open_pore_contribution_to_rho_dot,Open Pore Contribution To Rho Dot,s^-1,Open Pore Contribution To Rho Dot,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
open_shrinkage_contribution,Open Shrinkage Contribution,model-native or categorical; see definition/provenance,Open Shrinkage Contribution,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
open_shrinkage_flux,Open Shrinkage Flux,s^-1,Open Shrinkage Flux,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
open_shrinkage_integral,Open Shrinkage Integral,model-native or categorical; see definition/provenance,Open Shrinkage Integral,measured/model-output/metadata,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv
open_shrinkage_share,Open Shrinkage Share,dimensionless/proxy,Open Shrinkage Share,dimensionless/proxy,results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
panel_id,Panel Id,identifier,Panel Id,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv;results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv;results/figure_source_data_package/candidate_693168/ablation_summary.csv;results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv;results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv;results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv;results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv;results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv;results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv;results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv;results/figure_source_data_package/supplement/equation_label_map.csv;results/figure_source_data_package/supplement/units_map.csv;results/figure_source_data_package/supplement/variable_axis_label_map.csv
pass_fail_reason,Pass Fail Reason,categorical/text,Pass Fail Reason,measured/model-output/metadata,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv
pass_fast_firing_rule,Pass Fast Firing Rule,model-native or categorical; see definition/provenance,Pass Fast Firing Rule,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv
