attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint
True,0.07334429172256929,0.09104900598753074,0.11233068545778035,0.0,0.0,0.00288470230429851,Tier_C,,290,True,False,False,230693,True,0.98,0.9810407635594947,890c94d16463f567
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,655644,True,0.9803193336568908,0.9316974886732516,b406fde135398319
True,0.2459178882951566,0.3004787688969993,0.3752020469588505,0.029999999999996696,0.015099999999998337,0.010901691291978209,Tier_B,,105,True,True,True,465410,True,0.98,0.9808829619413314,e5442d10d3e9d5b6
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,753325,True,0.9815710442228189,0.927817550204527,8ebb207125eda9cd
True,0.21282940026929342,0.270427662624959,0.34462236219678577,0.029999999999996696,0.008399999999999075,0.009609332707085305,Tier_B,,230,True,True,True,571123,True,0.9806851223336941,0.9804069276328881,f3ceb7b075b5c927
True,0.26675455922672,0.317901770078729,0.3735489851922934,0.029999999999996696,0.020099999999997786,0.011539105127994807,Tier_B,,90,True,True,True,381066,True,0.98,0.9800826472294515,517c73db74068b35
False,0.0024201650068406133,0.011234938518599247,0.019473946495801697,0.0,0.0,6.715286147497928e-05,Tier_C,,55,True,False,False,302749,True,0.9800097332678315,0.9560311926279289,a52c5dc676e75cae
False,-1.210444700430339,-1.0553078831076803,-0.48663753753933525,0.0,0.0,0.0,reject,reduction_below_threshold,0.0,True,True,False,12723,True,0.9800661147807478,0.9596570384531399,61ca4fc9e8de7dda
True,0.2664076495734323,0.31458628857675475,0.3664681127660465,0.029999999999996696,0.019199999999997885,0.011351716480146875,Tier_B,,210,True,True,True,66577,True,0.9802758016864545,0.9801150485391625,34cb7bc652a251b0
True,0.01718684034446616,0.31482134989624744,0.5043322780108741,0.019399999999997863,0.015399999999998304,0.010805737768578587,Tier_C,,0.0,True,True,False,754258,True,0.9805361462335612,0.9800289631475579,bd6f7f1898f0bc8d
True,-0.000423236972537433,0.016041962779228536,0.040638584725135374,0.0,0.0,0.0005229782303311435,Tier_C,,0.0,True,True,False,793603,True,0.9802164524065791,0.9804150727736068,ef5368b8358a3f28
True,0.5121900415459,0.5298429826776859,0.5364534560356489,0.029999999999996696,0.029999999999996696,0.02251969500970416,Tier_B,,150,True,True,True,318897,True,0.9818006866872424,0.9800502723319817,2580a3aa211da775
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,878543,True,0.809981810695497,0.809981810695497,106ec6eac604b850
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,155545,True,0.7694110217710388,0.7694110217710388,4ab30f960234ffef
True,0.38704536591592653,0.417083067596148,0.44394361836608454,0.029999999999996696,0.029999999999996696,0.01619532122831729,Tier_B,,240,True,True,True,835943,True,0.9813869364492129,0.980208960099961,450987e752765d38
True,0.27714774599961123,0.3190687505790738,0.34481626593936476,0.029999999999996696,0.022199999999997555,0.011447296451304052,Tier_B,,125,True,True,True,822940,True,0.9810335276385648,0.980009438402435,a622dbdfb5ded0ce
True,0.3246705342432912,0.35715425903046927,0.36818531557301537,0.029999999999996696,0.029999999999996696,0.013080267175695189,Tier_C,,0.0,True,True,False,941521,True,0.9802726348365657,0.9800220375275955,970c02670c5fbfd2
True,0.5880750634219666,0.630293977420014,0.6651186042399964,0.029999999999996696,0.029999999999996696,0.029835932943164327,Tier_B,,280,True,True,True,595130,True,0.9818722984714454,0.9801599530411873,d6436d698f6f57e6
False,0.19011310671943515,0.19656550184194066,0.19944482464330182,0.0,0.0,0.005801342098999816,Tier_C,,0.0,True,True,False,482551,True,0.9804711341484121,0.9766432415284751,eeee7a5e0c6dfefa
False,0.590649174000841,0.5953618517764524,0.6001991876596766,0.005999999999999339,0.005999999999999339,0.005429019792760339,Tier_C,,0.0,True,False,False,113378,True,0.9614840262669869,0.9560033984852168,625950d7d73ec4cf
True,0.10698759522419443,0.15588078408772266,0.21433788374571527,0.0040999999999995485,0.0,0.005187821475712309,Tier_C,,380,True,False,False,534293,True,0.98,0.9800204339702862,7bc3c5c4dcc94352
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,False,False,989117,True,0.9402969722507901,0.926448264557184,48366069a79f6a2c
True,-0.3611319820618495,-0.10038674126425073,0.08115688222762885,0.0,0.0,0.0003312493274737126,Tier_C,,50,True,True,True,400150,True,0.9807255966239006,0.9800009495390083,ae1d9aa0d339dbfd
True,0.4365657180567716,0.4715790038402726,0.4996051709054189,0.029999999999996696,0.029999999999996696,0.019134913057255475,Tier_B,,215,True,True,True,430568,True,0.981698493461056,0.9800326933094357,64d91246c51e7da4
True,0.36467387921292027,0.3684833373703874,0.3732622863263869,0.029999999999996696,0.029999999999996696,0.013811138144143968,Tier_B,,240,True,True,True,410016,True,0.9808563203177034,0.9803702256187922,99ee0b662d24baf2
True,0.02950904361389506,0.03902957744178337,0.05340441717420685,0.0,0.0,0.0012191216941249993,Tier_C,,155,True,False,False,435740,True,0.98,0.9800539660971476,b9cab5491b69ffdf
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,240012,True,0.9812043724422247,0.9118425994666955,8c63f4804234bf58
True,0.4604491724141804,0.5346093204332877,0.5983633671150714,0.029999999999996696,0.029999999999996696,0.02294283688937518,Tier_C,,0.0,True,True,False,833299,True,0.9800367775555678,0.980035487587839,3c5efb2286289ac7
