case_id,mode,path,subpopulation,t_s,rho_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore
L000,disabled_local_mixture,reference,matrix_connected,48960.000000036445,0.6500000000056082,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,49200.00000003666,0.650000000007354,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,49440.00000003688,0.6500000000096253,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,49680.0000000371,0.6500000000125752,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,49920.00000003732,0.650000000016399,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,50160.00000003754,0.6500000000213474,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,50400.000000037755,0.6500000000277399,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,50640.00000003797,0.6500000000359839,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,50880.00000003819,0.6500000000465975,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,51120.00000003841,0.6500000000602392,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,51360.00000003863,0.6500000000777445,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,51600.000000038846,0.6500000001001711,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,51840.000000039065,0.6500000001288574,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,52080.00000003928,0.6500000001654933,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,52320.0000000395,0.6500000002122103,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,52560.00000003972,0.6500000002716929,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,52800.00000003994,0.6500000003473183,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,53040.000000040156,0.6500000004433282,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,53280.000000040374,0.6500000005650451,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,53520.00000004059,0.6500000007191398,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,53760.00000004081,0.6500000009139617,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,54000.00000004103,0.6500000011599518,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,54240.00000004125,0.6500000014701527,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,54480.000000041466,0.6500000018608396,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,54720.000000041684,0.6500000023523058,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,54960.0000000419,0.6500000029698303,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,55200.00000004212,0.6500000037448803,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,55440.00000004234,0.6500000047165979,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,55680.00000004256,0.6500000059336404,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,55920.000000042775,0.6500000074564614,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,56160.00000004299,0.6500000093601339,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,56400.00000004321,0.6500000117378528,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,56640.00000004343,0.6500000147052742,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,56880.00000004365,0.6500000184059017,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,57120.00000004387,0.6500000230177754,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,57360.000000044085,0.6500000287617835,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,57600.0000000443,0.6500000359120071,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,57840.00000004452,0.6500000448085979,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,58080.00000004474,0.6500000558738389,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,58320.00000004496,0.6500000696321926,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,58560.00000004518,0.6500000867353541,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,58800.000000045395,0.6500001079936042,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,59040.00000004561,0.6500001344150832,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,59280.00000004583,0.6500001672550524,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,59520.00000004605,0.6500002080777374,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,59760.00000004627,0.6500002588340443,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,60000.000000046486,0.6500003219592929,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,60240.00000004998,0.6500004004961899,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,60480.00000005347,0.6500004982496095,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,60720.00000005696,0.6500006199814053,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,60960.000000060456,0.650000771655532,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,61200.00000006395,0.6500009607462375,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,61440.00000006744,0.6500011966251027,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,61680.00000006766,0.6500014910462678,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,61920.00000006788,0.6500018587533605,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,62160.000000068096,0.6500023182363894,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,62400.000000068314,0.6500028926721177,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,62640.00000006853,0.6500036110869634,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,62880.00000006875,0.6500045097869314,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,63120.00000006897,0.6500056341038236,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,63360.00000006919,0.6500070405100946,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,63600.000000069405,0.6500087991548936,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,63840.000000069624,0.6500109968693095,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,64080.00000006984,0.6500137406774822,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,64320.00000007006,0.6500171618295916,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,64560.00000007028,0.6500214203404149,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,64800.0000000705,0.6500267099713473,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,65040.000000070715,0.6500332635341546,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,65280.00000007093,0.6500413583234728,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,65520.00000007115,0.6500513214080181,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,65760.00000007136,0.6500635344379854,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,66000.0000000716,0.6500784375728991,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,66240.00000007018,0.6500965321178069,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,66480.00000006713,0.6501183814930578,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,66720.00000006407,0.6501446102650532,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,66960.00000006102,0.6501759011319574,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,67200.00000005796,0.650212989973585,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,67440.0000000549,0.6502566593071561,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,67680.00000005185,0.6503077306987618,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,67920.00000004879,0.6503670568223858,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,68160.00000004574,0.6504355139041246,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,68400.00000004268,0.6505139952294661,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,68640.00000003962,0.6506034062404327,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,68880.00000003657,0.6507046615400918,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,69120.00000003351,0.6508186838961214,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,69360.00000003046,0.6509464051316494,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,69600.0000000274,0.6510887686377551,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,69840.00000002435,0.651246733149919,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,70080.00000002129,0.6514212773983128,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,70320.00000001823,0.6516134052575455,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,70560.00000001518,0.6518241510693179,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,70800.00000001212,0.6520545848755384,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,71040.00000000907,0.6523058173668914,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,71280.00000000601,0.65257900441378,0,0,0
