smoothing_gate_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,G1_nm,rho1,first_connected_coverage,T_lower_density_C,T_upper_no_growth_C,T_success_min_C,T_success_max_C,window_width_C,n_success
connectivity,75.00000000000001,1250.0,0.85,0.9,0.02,True,156.78033964740771,0.8500499296110162,0.23144008773736893,1250.0,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.9,0.05,True,156.78033964740771,0.8500499296110162,0.23144008773736893,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.9,0.1,True,156.78033964740771,0.8500499296110162,0.23144008773736893,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.95,0.02,True,156.78033964740771,0.8500499296110162,0.23144008773736893,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.95,0.05,True,156.78033964740771,0.8500499296110162,0.23144008773736893,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.95,0.1,True,156.78033964740771,0.8500499296110162,0.23144008773736893,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.98,0.02,True,156.78033964740771,0.8500499296110162,0.23144008773736893,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.98,0.05,True,156.78033964740771,0.8500499296110162,0.23144008773736893,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.85,0.98,0.1,True,156.78033964740771,0.8500499296110162,0.23144008773736893,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.9,0.02,True,229.41157497509536,0.8800368250010459,0.15346643202710566,1250.0,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.9,0.05,True,229.41157497509536,0.8800368250010459,0.15346643202710566,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.9,0.1,True,229.41157497509536,0.8800368250010459,0.15346643202710566,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.95,0.02,True,229.41157497509536,0.8800368250010459,0.15346643202710566,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.95,0.05,True,229.41157497509536,0.8800368250010459,0.15346643202710566,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.95,0.1,True,229.41157497509536,0.8800368250010459,0.15346643202710566,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.98,0.02,True,229.41157497509536,0.8800368250010459,0.15346643202710566,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.98,0.05,True,229.41157497509536,0.8800368250010459,0.15346643202710566,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1250.0,0.88,0.98,0.1,True,229.41157497509536,0.8800368250010459,0.15346643202710566,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.9,0.02,True,103.5710921801583,0.7507027211584242,0.3772095167869622,1250.0,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.9,0.05,True,103.5710921801583,0.7507027211584242,0.3772095167869622,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.9,0.1,True,103.5710921801583,0.7507027211584242,0.3772095167869622,1250.0,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.95,0.02,True,103.5710921801583,0.7507027211584242,0.3772095167869622,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.95,0.05,True,103.5710921801583,0.7507027211584242,0.3772095167869622,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.95,0.1,True,103.5710921801583,0.7507027211584242,0.3772095167869622,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.98,0.02,True,103.5710921801583,0.7507027211584242,0.3772095167869622,nan,1050.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.98,0.05,True,103.5710921801583,0.7507027211584242,0.3772095167869622,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.75,0.98,0.1,True,103.5710921801583,0.7507027211584242,0.3772095167869622,nan,1100.0,nan,nan,nan,0
connectivity,75.00000000000001,1300.0,0.8,0.9,0.02,True,126.8616787957448,0.800260276446904,0.3413842089066716,1250.0,1050.0,nan,nan,nan,0
