memory_model,T1_C,T2_C,switch_density,target_density,high_reached,two_step_reached,high_final_density,two_step_final_density,G_high_nm,G_two_step_nm,TS_pct,benefit_positive,high_damage_final,two_step_damage_final,high_redistributed_volume,two_step_redistributed_volume,high_mean_radius_nm,two_step_mean_radius_nm
pore_bin_redistribution,1300.0,1300.0,0.88,0.9,True,True,0.9000042529258799,0.9000042529258799,369.7893193287233,369.7893193287233,0.0,False,0.0,0.0,2.252488276090409e-05,2.252488276090409e-05,47.9341239346276,47.9341239346276
pore_bin_redistribution,1350.0,1200.0,0.82,0.9,True,False,0.9000384518212052,0.8885059498905362,394.35491705358265,nan,nan,False,0.0,0.0,1.0941114123238945e-06,4.9085458561281905e-05,47.94141900495699,46.45085518503803
pore_bin_redistribution,1350.0,1200.0,0.85,0.9,True,False,0.9000384518212052,0.8915558223700918,394.35491705358265,nan,nan,False,0.0,0.0,1.0941114123238945e-06,4.9299123430144805e-06,47.94141900495699,46.82406930432458
pore_bin_redistribution,1350.0,1200.0,0.88,0.9,True,False,0.9000384518212052,0.8976855161660918,394.35491705358265,nan,nan,False,0.0,0.0,1.0941114123238945e-06,1.74139009141269e-06,47.94141900495699,47.6198864017823
pore_bin_redistribution,1350.0,1250.0,0.82,0.9,True,True,0.9000384518212052,0.9000026611661311,394.35491705358265,348.834667539662,11.542964863738625,True,0.0,0.0,1.0941114123238945e-06,3.639817825757889e-06,47.94141900495699,47.93147679863133
pore_bin_redistribution,1350.0,1250.0,0.85,0.9,True,True,0.9000384518212052,0.9000007500224669,394.35491705358265,349.02628024590194,11.494375966287675,True,0.0,0.0,1.0941114123238945e-06,1.3080189891935025e-06,47.94141900495699,47.93340712609969
pore_bin_redistribution,1350.0,1250.0,0.88,0.9,True,True,0.9000384518212052,0.9000038230459559,394.35491705358265,351.70269501025814,10.81569423858082,True,0.0,0.0,1.0941114123238945e-06,1.1315842405532763e-06,47.94141900495699,47.93600680089959
pore_bin_redistribution,1350.0,1300.0,0.82,0.9,True,True,0.9000384518212052,0.9000094716277681,394.35491705358265,369.891964787694,6.203283186796111,True,0.0,0.0,1.0941114123238945e-06,1.2213605439740582e-06,47.94141900495699,47.934229385999885
pore_bin_redistribution,1350.0,1300.0,0.85,0.9,True,True,0.9000384518212052,0.9000137349296007,394.35491705358265,370.04038334780455,6.165647403979087,True,0.0,0.0,1.0941114123238945e-06,1.1044932687082971e-06,47.94141900495699,47.93614745497084
pore_bin_redistribution,1350.0,1300.0,0.88,0.9,True,True,0.9000384518212052,0.9000186397259599,394.35491705358265,371.30918119133315,5.843907319435853,True,0.0,0.0,1.0941114123238945e-06,1.0959065669435893e-06,47.94141900495699,47.93826948384531
pore_bin_redistribution,1400.0,1200.0,0.82,0.9,True,False,0.9000624624536951,0.8894515881173575,421.3266339940745,nan,nan,False,0.0,0.0,5.1009275026649544e-08,4.449440840618997e-05,47.94749169080117,46.564928189589246
pore_bin_redistribution,1400.0,1200.0,0.85,0.9,True,False,0.9000624624536951,0.8926692253456391,421.3266339940745,nan,nan,False,0.0,0.0,5.1009275026649544e-08,3.559395326633229e-06,47.94749169080117,46.96387788546144
pore_bin_redistribution,1400.0,1200.0,0.88,0.9,True,False,0.9000624624536951,0.8988843277429138,421.3266339940745,nan,nan,False,0.0,0.0,5.1009275026649544e-08,7.050234058783614e-07,47.94749169080117,47.78411985340127
