case,t_s,T_K,rho,bin,radius_m,phi_open,phi_iso,phi_closed
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,2,1.2830973311830731e-08,0.00927107792946886,4.994304872865783e-12,9.84291315080845e-13
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,3,1.6082997248964597e-08,0.042007635992994063,1.0984797803471138e-11,1.415994171150928e-12
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,4,2.0159250138234185e-08,0.08925590163719749,1.3435447400892439e-11,1.1135716968201948e-12
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,5,2.526863369090349e-08,0.11326227515205312,1.0433688552678763e-11,5.525996675053832e-13
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,6,3.167299598084116e-08,0.09454846706340907,5.4574269236962866e-12,1.8426053728716073e-13
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,7,3.970055075686648e-08,0.05398319514210409,1.9707788959731862e-12,4.23783215234082e-14
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,8,4.976269789419122e-08,0.021415774532447605,4.963542523966911e-13,6.795077001209468e-15
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,9,6.237510700730634e-08,0.005940823232695388,8.754719666096745e-14,7.62913371011616e-16
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,10,7.818414472715056e-08,0.0011553597823353845,1.0832208229467864e-14,6.008325675676225e-17
CS_thermal,14422.898609578488,1498.3181700480386,0.5707313336908406,11,9.8e-08,0.00015768822815862308,9.408296042091784e-16,3.3215443455051788e-18
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,0,8.166666666666667e-09,1.774926844348192e-07,8.281113722047793e-14,3.1387504885092703e-14
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,1,1.0236517085738568e-08,0.00024510261242568056,1.1245264518689653e-12,3.3807188220915244e-13
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,2,1.2830973311830731e-08,0.006926803427862471,6.731704932925833e-12,1.4410353857038765e-12
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,3,1.6082997248964597e-08,0.037393295755562245,1.638112128691855e-11,2.320572034309811e-12
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,4,2.0159250138234185e-08,0.08517043158147204,2.095644547209471e-11,1.9165664544905177e-12
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,5,2.526863369090349e-08,0.1111383776810919,1.65828069181051e-11,9.705803763618443e-13
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,6,3.167299598084116e-08,0.09382715656676671,8.74076826355215e-12,3.2632756016715896e-13
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,7,3.970055075686648e-08,0.0538161347643108,3.1663506770809147e-12,7.530574646611661e-14
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,8,4.976269789419122e-08,0.02138892662930826,7.984805419393636e-13,1.2091269986201869e-14
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,9,6.237510700730634e-08,0.005937808515727779,1.4090885074139662e-13,1.3582916835432631e-15
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,10,7.818414472715056e-08,0.0011551226132484698,1.7438273902184814e-14,1.0699625000462948e-16
CS_thermal,14547.663148907533,1508.7403404698093,0.5854172557207462,11,9.8e-08,0.00015767514906492162,1.5147260318987988e-15,5.915541724435498e-18
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,0,8.166666666666667e-09,7.02478707179598e-09,8.287818196217755e-14,3.141086428287402e-14
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,1,1.0236517085738568e-08,7.884704440768216e-05,1.2330915601316305e-12,3.8903314193517306e-13
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,2,1.2830973311830731e-08,0.004472541692660254,9.30528299203132e-12,2.2182081250865383e-12
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,3,1.6082997248964597e-08,0.03142484249342503,2.629842427155911e-11,4.233438993604001e-12
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,4,2.0159250138234185e-08,0.07941977162279938,3.6022602927225476e-11,3.768670474520524e-12
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,5,2.526863369090349e-08,0.10804515186745424,2.9335976226543337e-11,1.968968035550633e-12
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,6,3.167299598084116e-08,0.09276204684826984,1.5646577284167182e-11,6.704987476326827e-13
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,7,3.970055075686648e-08,0.05356805637457016,5.695297122049291e-12,1.555331272236879e-13
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,8,4.976269789419122e-08,0.02134896518448463,1.4390268092589254e-12,2.5025304192311107e-14
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,9,6.237510700730634e-08,0.005933316656780645,2.5414766034668316e-13,2.8136509388345023e-15
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,10,7.818414472715056e-08,0.0011547690449689313,3.146229122886309e-14,2.2171518041566253e-16
CS_thermal,14686.605515474477,1520.4339659335105,0.6044331618826837,11,9.8e-08,0.00015765564228373798,2.7332365200799393e-15,1.2259760677534546e-17
CS_thermal,14814.0149522592,1531.1976427816103,0.6244031518348884,0,8.166666666666667e-09,1.009006660622878e-10,8.288218987615244e-14,3.138657462436672e-14
