case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
CS_thermal,11364.396309692242,0.48427967532536886,0.011081551408059227,4.427619210949081e-08,1.0,1.0,11292750.712697867
CS_thermal,11514.03323170335,0.4844078132633459,0.01153150683224758,4.4294503212101104e-08,1.0,1.0,11288082.352019737
CS_thermal,11653.459968285913,0.4845795175348192,0.012119729573489023,4.431903350952903e-08,1.0,1.0,11281834.471694764
CS_thermal,11785.123213589171,0.4848043183742593,0.012865337162093458,4.4351152888866925e-08,1.0,1.0,11273664.097365787
CS_thermal,11911.51276006952,0.4850954477003251,0.013793382788256472,4.439276493991391e-08,1.0,1.0,11263096.603168454
CS_thermal,12034.8274302885,0.48547111640823515,0.014936257045558463,4.444649385810055e-08,1.0,1.0,11249481.266088055
CS_thermal,12156.965465793752,0.48595635739578436,0.016335564359755316,4.4515955470796776e-08,1.0,1.0,11231927.84951024
CS_thermal,12279.58383510607,0.48658567552924226,0.01804462582286444,4.460614978211424e-08,1.0,1.0,11209216.721064892
CS_thermal,12404.160421986786,0.48740685863915867,0.02013181785798945,4.4724031209627596e-08,1.0,1.0,11179672.012489935
CS_thermal,12532.044124102958,0.48848646243048743,0.022685036264440284,4.487934067665004e-08,1.0,1.0,11140983.63437281
CS_thermal,12654.470213339919,0.4897966793756755,0.02556206667222275,4.506833966561401e-08,0.9999999999999876,0.9999999999999876,11094262.70658662
CS_thermal,12783.153647411837,0.49153148173484107,0.02909201631364445,4.531946733661282e-08,0.999999999997782,0.9999999999977828,11032786.33630494
CS_thermal,12909.304411896293,0.49366451902054964,0.033109428280814375,4.5629650042177926e-08,0.9999999997929798,0.9999999997930483,10957787.305794
CS_thermal,13034.03393500833,0.49623698707295716,0.037681617845382764,4.6007057033644855e-08,0.9999999890374062,0.9999999890408876,10867897.932144435
CS_thermal,13158.131439605968,0.4992205562470614,0.04288519606568524,4.6448238452960824e-08,0.9999996438283151,0.9999996439364592,10764670.88211238
CS_thermal,13282.174603088084,0.502671383641184,0.0488073534724205,4.696268146316054e-08,0.9999924629882782,0.9999924651671758,10646751.51465149
CS_thermal,13406.600662062681,0.5066572429902605,0.055547321022694156,4.75627560152231e-08,0.9998906095128963,0.9998906394770615,10512426.988881137
CS_thermal,13531.787622489315,0.5112560912739444,0.06321803280199902,4.826341187265797e-08,0.9988615569733815,0.9988618507851187,10359814.621461902
CS_thermal,13658.359257099966,0.5165707815531193,0.07194801833416635,4.908469443134377e-08,0.991217443394273,0.9912195647447267,10186474.741110286
CS_thermal,13778.376140174027,0.5222950637279159,0.08107282792733252,4.998257276047213e-08,0.9555104235215434,0.955520453665843,10003486.663163856
CS_thermal,13908.477144969944,0.5293571802975185,0.09135489177210045,5.110496857843445e-08,0.8355025094742808,0.8355366730439531,9783784.510748975
CS_thermal,14037.889044645937,0.5374503797362182,0.10091263471600814,5.240771354042131e-08,0.6486866913877316,0.6487533404829023,9540580.311987037
