initial_topology,peak_T_C,hold_h,rho_target,rate,attained,base_mechanism,TJ_constraint_mode,HR_pct,beneficial,C_TJ_pore,C_TJ_constraint,C_TJ_relaxed,C_TJ_pinned,R_TJ_pore_drag,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,P_TJ_multihit,P_TJ_pore_drag,P_TJ_assisted_densification
GBseg_rich,1350.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
GBseg_rich,1350.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,2.098418873328416,True,0.13924114710690183,0.24303794264465486,0.0,0.11139291768552147,0.4522169566568416,0.9994452190752212,1.0,0.9994452190752212,0.6319164097081946,114.37532686520225,140.51825073377836,16.886710074334374
GBseg_rich,1350.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,2.0727886976774195,True,0.1368787985493678,0.2431560600725316,0.0,0.10950303883949425,0.44442834888970234,0.9988181428306885,1.0,0.9988181428306885,0.6316855208478266,115.70027831465981,139.61026939757727,16.559000688993702
GBseg_rich,1350.0,20.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
GBseg_rich,1350.0,20.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
GBseg_rich,1400.0,8.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,2.8019716717349037,True,0.17076736718190244,0.2414616316409049,0.0,0.13661389374552196,0.29316174286160623,1.760977670132159,1.0,1.760977670132159,0.8281232571049043,98.71865266472504,168.37957120123042,32.721040392184506
GBseg_rich,1400.0,8.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,3.4653266864823857,True,0.16421545269464677,0.24178922736526767,0.0,0.13137236215571743,0.28385108472045717,1.7705301064488024,1.0,1.7705301064488024,0.82975728186176,102.39031529576877,170.71862091612897,32.140837692383364
GBseg_rich,1400.0,8.0,0.9,20.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
GBseg_rich,1400.0,8.0,0.9,100.0,False,mech_009_q0,pore_pinned_drag,,,,,,,,,,,,,,
GBseg_rich,1400.0,20.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,2.8019716717349037,True,0.17076736718190244,0.2414616316409049,0.0,0.13661389374552196,0.29316174286160623,1.760977670132159,1.0,1.760977670132159,0.8281232571049043,98.71865266472504,168.37957120123042,32.721040392184506
GBseg_rich,1400.0,20.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,3.4653266864823857,True,0.16421545269464677,0.24178922736526767,0.0,0.13137236215571743,0.28385108472045717,1.7705301064488024,1.0,1.7705301064488024,0.82975728186176,102.39031529576877,170.71862091612897,32.140837692383364
GBseg_rich,1400.0,20.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,0.5360576482008426,False,0.25122338546798084,0.23743883072660094,0.0,0.2009787083743847,0.28810514424541306,1.2206528239216747,1.0,1.2206528239216747,0.704962503494582,43.20789590042071,42.19266102911397,16.72970130322388
GBseg_rich,1400.0,20.0,0.9,100.0,True,mech_009_q0,pore_pinned_drag,0.046242429833189456,False,0.24817758346107233,0.23759112082694633,0.0,0.19854206676885788,0.28321747346329923,1.2143131349802578,1.0,1.2143131349802578,0.7030861159686486,43.674245404809035,41.65958584025001,16.212744661941677
GBseg_rich,1450.0,8.0,0.85,20.0,True,mech_009_q0,pore_pinned_drag,-0.17735050654703244,False,0.21580136281534223,0.2392099318592329,0.0,0.1726410902522738,0.20184579456214868,2.9746558192760464,1.0,2.9746558192760464,0.9489349934291582,46.69742421647007,184.58195402174303,59.32814583012458
GBseg_rich,1450.0,8.0,0.85,100.0,True,mech_009_q0,pore_pinned_drag,0.7891824183066946,False,0.2058533121227184,0.23970733439386407,0.0,0.16468264969817473,0.19441684634016787,2.998180939463957,1.0,2.998180939463957,0.9501222835186559,48.55101880549837,189.24555149387652,58.403102944432014
GBseg_rich,1450.0,8.0,0.9,20.0,True,mech_009_q0,pore_pinned_drag,-0.06045617706852168,False,0.34776978513145484,0.23261151074342723,0.0,0.2782158281051639,0.20054832276108053,1.8748924011310921,1.0,1.8748924011310921,0.8466285314463309,28.836013868688234,37.705932342018606,27.46914015682572
