candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,HR_pct,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference
mech_009_PR_attrition_strong,0.9,TJ_rich,1.0,81,0.0,417782.2365357275,417782.2365357275,0.0
mech_009_PR_attrition_strong,0.9,TJ_rich,20.0,81,-0.1270056024723996,24973.723858379344,426587.4511464321,401281.66786349314
mech_009_PR_attrition_strong,0.9,TJ_rich,100.0,81,-0.1106080301744643,5663.452338564512,426587.4511464321,419882.8055987605
mech_009_PR_attrition_strong,0.9,baseline,1.0,81,0.0,979107.961162841,979107.961162841,0.0
mech_009_PR_attrition_strong,0.9,baseline,20.0,81,0.40793725229534383,63999.88034856268,992572.6152793532,925974.327785981
mech_009_PR_attrition_strong,0.9,baseline,100.0,81,0.3711299880766942,14277.27897328327,992572.6152793532,975595.6502283677
mech_009_PR_attrition_strong,0.9,mixed_GBseg_TJ,1.0,81,0.0,658018.7084531182,658018.7084531182,0.0
mech_009_PR_attrition_strong,0.9,mixed_GBseg_TJ,20.0,81,0.11706494511911529,38085.59007031605,647116.6692357997,607825.8880962171
mech_009_PR_attrition_strong,0.9,mixed_GBseg_TJ,100.0,81,0.0999324756171655,8481.839924742104,658018.7084531182,648452.1165843799
mech_009_PR_attrition_strong,0.92,GBseg_rich,1.0,81,0.0,1895051.524772515,1895051.524772515,0.0
mech_009_PR_attrition_strong,0.92,GBseg_rich,20.0,81,2.170253904632515,170026.4554628228,1895051.524772515,1714325.46978564
mech_009_PR_attrition_strong,0.92,GBseg_rich,100.0,81,2.6095521775676382,39319.16190797602,1895051.524772515,1845525.875668595
mech_009_PR_attrition_strong,0.92,TJ_rich,1.0,81,0.0,417198.3396619783,417198.3396619783,0.0
mech_009_PR_attrition_strong,0.92,TJ_rich,20.0,81,0.1936110998280567,24168.21613254951,417198.3396619783,391894.7160320975
mech_009_PR_attrition_strong,0.92,TJ_rich,100.0,81,0.26790692122720605,5547.933955023779,417198.3396619783,410195.39455396717
mech_009_PR_attrition_strong,0.92,baseline,1.0,81,0.0,976328.431850956,976328.431850956,0.0
mech_009_PR_attrition_strong,0.92,baseline,20.0,81,0.6260544267330382,63715.15997802527,976328.431850956,911904.1841684264
mech_009_PR_attrition_strong,0.92,baseline,100.0,81,0.908871630215164,14197.978399318928,976328.431850956,961831.529630118
mech_009_PR_attrition_strong,0.92,mixed_GBseg_TJ,1.0,81,0.0,635530.2720864713,635530.2720864713,0.0
mech_009_PR_attrition_strong,0.92,mixed_GBseg_TJ,20.0,81,0.1805846078945134,37866.061096957215,635530.2720864713,596721.961590932
mech_009_PR_attrition_strong,0.92,mixed_GBseg_TJ,100.0,81,0.1975563992471442,8497.117352465397,635530.2720864713,625856.1828932583
mech_009_PR_comp,0.85,GBseg_rich,1.0,81,0.0,630634.4570872908,630634.4570872908,0.0
mech_009_PR_comp,0.85,GBseg_rich,20.0,81,-0.0852324634589367,41178.09877896751,631108.9307371886,586613.7948266158
mech_009_PR_comp,0.85,GBseg_rich,100.0,81,-0.078381013313699,11067.76430148241,631108.9307371886,618210.9276083889
mech_009_PR_comp,0.85,TJ_rich,1.0,81,0.0,103637.62407693468,103637.62407693468,0.0
mech_009_PR_comp,0.85,TJ_rich,20.0,81,-2.365215348808115,5579.168446907636,103637.62407693468,97888.36797114628
