candidate_id,rho_target,initial_topology,heating_rate_C_min,n_cases,connected_fine_pore_fraction,connected_fine_difference,pore_mean_radius_nm,large_pore_fraction
mech_009_disabled,0.92,baseline,20.0,81,0.9643589158716503,0.00019611252055690002,62.15905074263442,0.0356410841283495
mech_009_disabled,0.92,baseline,100.0,81,0.9646204012178421,0.00020240666285214999,62.14046063353904,0.0353795987821579
mech_009_disabled,0.92,mixed_GBseg_TJ,1.0,81,0.9661606812275122,0.0,61.60625891756551,0.0338393187724878
mech_009_disabled,0.92,mixed_GBseg_TJ,20.0,81,0.9662246439179122,4.2846021655662536e-05,61.624819859551806,0.0337753560820877
mech_009_disabled,0.92,mixed_GBseg_TJ,100.0,81,0.9661073792754671,0.00014077778040185,61.64839816217502,0.033892620724533
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,1.0,81,0.1314849449784678,0.0,51.28640765735695,0.0188970293818073
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,20.0,81,0.1364097887103573,0.00492342293979575,51.101541260655985,0.0188320345134457
mech_009_q0_PR_attrition_moderate,0.85,GBseg_rich,100.0,81,0.13676194475675418,0.0050138337991989,51.096957197686024,0.01882931810470365
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,1.0,81,0.1206851824553939,0.0,52.52257952387129,0.0200395596251779
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,20.0,81,0.1231995769604671,0.0028793836934681,52.33516922580282,0.0199248566165629
mech_009_q0_PR_attrition_moderate,0.85,TJ_rich,100.0,81,0.1232399289432105,0.0025681756833289,52.32316079813932,0.0199439713682028
mech_009_q0_PR_attrition_moderate,0.85,baseline,1.0,81,0.12517085204451955,0.0,52.216656604439606,0.0200508711031444
mech_009_q0_PR_attrition_moderate,0.85,baseline,20.0,81,0.1286287411937448,0.0033551517464985,52.03416196288197,0.01998359242550385
mech_009_q0_PR_attrition_moderate,0.85,baseline,100.0,81,0.12891389530898678,0.0031952572857157,52.07132875521468,0.019998951590996697
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,1.0,81,0.1309944767817033,0.0,51.41872689348544,0.018900823137563
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,20.0,81,0.13359990294317695,0.0032356458891352,51.25130656145202,0.01879330123645625
mech_009_q0_PR_attrition_moderate,0.85,mixed_GBseg_TJ,100.0,81,0.13395048193259304,0.003074851295607,51.25739263536697,0.018822919545378
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,1.0,81,0.1109783333913935,0.0,54.607063451568,0.0239239256859501
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,20.0,81,0.112469770219887,0.0008000137696132,54.61101914935991,0.0238167593821013
mech_009_q0_PR_attrition_moderate,0.88,GBseg_rich,100.0,81,0.11206202208986325,0.0007634530774149,54.57822970071063,0.0238300697061493
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,1.0,81,0.0874026994216492,0.0,56.955948497248585,0.0259484151054697
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,20.0,81,0.0882860304853304,0.0025569749129992,56.91330871568382,0.0259199893285047
mech_009_q0_PR_attrition_moderate,0.88,TJ_rich,100.0,81,0.0884511118236769,0.0025199786771691,56.90650562162485,0.0259278464779893
mech_009_q0_PR_attrition_moderate,0.88,baseline,1.0,81,0.0944304892578822,0.0,56.53883779437261,0.026083870629032
