rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.8740000000000001,312.6405367523498,339.37499681338323,0.9212244263364686,-8.551181602598907,-0.08205159560721714,LS023,240.0,0.2
0.8750000000000001,313.18020106621987,340.330559271376,0.920223566572208,-8.669244771132695,-0.08313863131680008,LS023,240.0,0.2
0.8760000000000001,313.74279703448525,341.3120243529248,0.9192257367120112,-8.787206456698122,-0.08422355380560197,LS023,240.0,0.2
0.8770000000000001,314.32932363693885,342.3202551145641,0.9182317404260595,-8.904969843015891,-0.08530547966813815,LS023,240.0,0.2
0.8780000000000001,314.9408253466913,343.3561477143006,0.9172424243550953,-9.022432177958924,-0.0863834748649673,LS023,240.0,0.2
0.8790000000000001,315.57839436457004,344.4206328325798,0.9162586798856799,-9.139484509414785,-0.08745655255391789,LS023,240.0,0.2
0.8800000000000001,316.2431729791027,345.5146771623631,0.9152814449919728,-9.256011412835983,-0.08852367084760764,LS023,240.0,0.2
0.8810000000000001,316.9363560606709,346.63928497237123,0.9143117061470174,-9.371890710453652,-0.08958373049547179,LS023,240.0,0.2
0.8820000000000001,317.6591936991363,347.79549974785505,0.9133505003067407,-9.486993182152833,-0.09063557248848716,LS023,240.0,0.2
0.8830000000000001,318.4129939950287,348.98440591359224,0.9123989169701384,-9.601182268032948,-0.0916779755847322,LS023,240.0,0.2
0.8840000000000001,319.19912601524516,350.20713064418095,0.9114581003193774,-9.714313762705865,-0.09270965375389759,LS023,240.0,0.2
0.8850000000000001,320.0190229251596,351.46484576710384,0.9105292514438795,-9.826235501412118,-0.09372925353878844,LS023,240.0,0.2
0.8860000000000001,320.8741853100827,352.7587697644852,0.9096136306527834,-9.93678703806922,-0.09473535133181057,LS023,240.0,0.2
0.8870000000000001,321.7661847001559,354.09016987995506,0.9087125598805589,-10.045799315400677,-0.09572645056436219,LS023,240.0,0.2
0.8880000000000001,322.696667314028,355.4603643375726,0.907827425190985,-10.15309432733034,-0.09670097880695455,LS023,240.0,0.2
0.8890000000000001,323.6673580380497,356.87072468036087,0.9069596793851598,-10.258484773867073,-0.09765728477779616,LS023,240.0,0.2
0.8900000000000001,324.68006465925777,358.32267823665745,0.9061108447197413,-10.361773708745138,-0.09859363525743965,LS023,240.0,0.2
0.8910000000000001,325.73668237211155,359.8177107232143,0.9052825157422025,-10.462754180129348,-0.09950821190694839,LS023,240.0,0.2
0.8920000000000001,326.83919858081407,361.3573689947791,0.9044763622505129,-10.561208864740896,-0.10039910798687685,LS023,240.0,0.2
0.8930000000000001,327.9896980211203,362.9432639507726,0.9036941323854046,-10.656909695804375,-0.1012643249741321,LS023,240.0,0.2
0.8940000000000001,329.19036822782493,364.5770736106575,0.902937655864167,-10.749617485266846,-0.10210176907355333,LS023,240.0,0.2
0.8950000000000001,330.44350537665554,366.2605463706725,0.9022088473658081,-10.839081540788934,-0.1029092476207568,LS023,240.0,0.2
0.8960000000000001,331.7515205321158,367.995504455801,0.901509710078433,-10.925039278057053,-0.10368446537244276,LS023,240.0,0.2
0.8970000000000001,333.11694633594453,369.7838475821707,0.9008423394207927,-11.007215829016411,-0.1044250206799652,LS023,240.0,0.2
0.8980000000000001,334.54244417432886,371.6275568465439,0.9002089269512148,-11.085323646673096,-0.10512840154148687,LS023,240.0,0.2
0.8990000000000001,336.0308118658752,373.5286988611845,0.899611764478518,-11.159062107160697,-0.10579198152748562,LS023,240.0,0.2
0.9000000000000001,337.5849919166424,375.4894301541913,0.8990532483910831,-11.228117109811679,-0.10641301557372489,LS023,240.0,0.2
0.9010000000000001,339.2080803933437,377.51200185738304,0.8985358842220073,-11.292160676014062,-0.10698863563503337,LS023,240.0,0.2
0.9020000000000001,340.903336471181,379.59876470604127,0.8980622914702429,-11.35085054766881,-0.10751584619234293,LS023,240.0,0.2
0.9030000000000001,342.67419271876327,381.75217437727974,0.8976352086998296,-11.403829786093123,-0.10799151960440219,LS023,240.0,0.2
0.9040000000000001,344.5242661892732,383.9747971965452,0.8972574989418421,-11.450726372231452,-0.10841239129434195,LS023,240.0,0.2
0.9050000000000001,346.45737039455076,386.26931624479664,0.896932155426461,-11.491152809047602,-0.10877505475988468,LS023,240.0,0.2
0.9060000000000001,348.4775282472107,388.6385379022954,0.8966623076757734,-11.524705726962793,-0.10907595639431203,LS023,240.0,0.2
0.9070000000000001,350.58898606538196,391.08539886870386,0.8964512279914663,-11.550965493185702,-0.10931139010342579,LS023,240.0,0.2
0.9080000000000001,352.7962287453384,393.6129737033875,0.8963023383756473,-11.5694958257369,-0.10947749170149759,LS023,240.0,0.2
0.9090000000000001,355.1039962193217,396.2244829344903,0.8962192179276128,-11.579843412905868,-0.10957023306664523,LS023,240.0,0.2
0.9100000000000001,357.51730132944596,398.92330179057626,0.8962056107645792,-11.58153753878764,-0.1095854160331118,LS023,240.0,0.2
0.9110000000000001,360.0414492639503,401.7129696144521,0.8962654345203331,-11.57408971541828,-0.10951866599446146,LS023,240.0,0.2
0.9120000000000001,362.6820587194803,404.5972000253029,0.8964027894824746,-11.556993321867692,-0.10936542518774531,LS023,240.0,0.2
0.9130000000000001,365.4450849728545,407.57989190256313,0.8966219684366041,-11.529723250440883,-0.10912094562408825,LS023,240.0,0.2
