case_id,mode,fast_rate_C_min,metric,rho,G_reference,G_fast,ratio,pct
dis_r0.70_G75_T1500,disabled,20.0,G50,0.859,348.7401447046534,238.69799516676608,1.4610099446415814,31.55419621422752
dis_r0.70_G75_T1500,disabled,20.0,G50,0.86,357.7626957299731,242.22400455078315,1.476991086797786,32.29478438031296
dis_r0.70_G75_T1500,disabled,20.0,G50,0.861,366.97168487306595,246.00086114180408,1.4917495945736945,32.96462062818422
dis_r0.70_G75_T1500,disabled,20.0,G50,0.862,378.27005211567246,249.80553220850604,1.5142581061813334,33.96106014437613
dis_r0.70_G75_T1500,disabled,20.0,G50,0.863,387.8927463713446,253.7943136425875,1.5283744572685924,34.571008090050626
dis_r0.70_G75_T1500,disabled,20.0,G50,0.864,399.6984435427387,257.96953221207565,1.5494017456842473,35.45896002857673
dis_r0.70_G75_T1500,disabled,20.0,G50,0.865,411.7869126918101,262.2627637742013,1.5701310653705443,36.311049309504355
dis_r0.70_G75_T1500,disabled,20.0,G50,0.866,424.16169453804065,266.75325476917675,1.5900900437187555,37.110479752373486
dis_r0.70_G75_T1500,disabled,20.0,G50,0.867,438.9667636724053,271.36683470835715,1.6176138994441631,38.18055097427049
dis_r0.70_G75_T1500,disabled,20.0,G50,0.868,451.97127662964937,276.1903457908466,1.6364484983552543,38.89205795324018
dis_r0.70_G75_T1500,disabled,20.0,G50,0.869,467.5171374355265,281.23097482684494,1.662395608177153,39.84584685612119
dis_r0.70_G75_T1500,disabled,20.0,G50,0.87,485.78066352766916,286.49419898550576,1.6956038385693304,41.02395988654093
dis_r0.70_G75_T1500,disabled,20.0,G50,0.871,502.1958373077102,291.98795686267727,1.7199196936190566,41.85775046881409
dis_r0.70_G75_T1500,disabled,20.0,G90,0.85,961.654533697416,571.5744163155898,1.6824660206037751,40.56343559074455
dis_r0.70_G75_T1500,disabled,20.0,G90,0.851,986.4539351404555,581.3038940962466,1.6969677051176404,41.071359402760336
dis_r0.70_G75_T1500,disabled,20.0,G90,0.852,1011.5317299429647,591.6050874311933,1.709809045650932,41.51393674377857
dis_r0.70_G75_T1500,disabled,20.0,G90,0.853,1036.871886818949,602.2200449001077,1.721749210441739,41.91953195416677
dis_r0.70_G75_T1500,disabled,20.0,G90,0.854,1062.492469884873,613.1562109938745,1.7328250955211921,42.29077114680037
dis_r0.70_G75_T1500,disabled,20.0,G90,0.855,1094.8947214933355,624.1521233412902,1.754211322124495,42.99432529092805
dis_r0.70_G75_T1500,disabled,20.0,G90,0.856,1121.117757316718,635.7547515157283,1.763443772372627,43.29277657350259
dis_r0.70_G75_T1500,disabled,20.0,G90,0.857,1154.2825361518353,647.9771977399884,1.7813628939069712,43.86320701860183
dis_r0.70_G75_T1500,disabled,20.0,G90,0.858,1181.1151351449425,660.2847769680338,1.7887965561897599,44.096493447524416
dis_r0.70_G75_T1500,disabled,20.0,G90,0.859,1215.0282227050777,673.233641024489,1.8047645700772117,44.59111085291209
dis_r0.70_G75_T1500,disabled,20.0,G90,0.86,1249.3603794190576,686.2831979502439,1.8204735059091994,45.069236286381994
dis_r0.70_G75_T1500,disabled,20.0,G90,0.861,1284.0976609922493,700.2798358956645,1.8336921829969246,45.46521988409016
