case_id,mode,path,t_s,rho,G_mean,G50,G90,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,f_defect_large_pore,f_crack_like_pore,defect_D90,defect_connectedness,stored_PR_work,stored_shear_coupled_stress,persistent_eligibility,persistent_growth_factor
dis_r0.65_G150_T1500,disabled,fast,8560.79999999992,0.8236871519433376,3.0351301108216634e-07,2.4086342944207576e-07,5.541113376425286e-07,2.1847129726829564e-07,0.90415908780699,0.07531035114470108,29336.16847582962,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8659.199999999917,0.824285535928271,3.052736409110558e-07,2.4197855588718167e-07,5.584539810065522e-07,2.1847129726829564e-07,0.9047549242136349,0.07494964443444277,29337.365696671244,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8757.599999999917,0.824878265643237,3.070366364693379e-07,2.43095038926654e-07,5.628030266400735e-07,2.1847129726829564e-07,0.9053476865261588,0.07459117554821221,29338.530683990193,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8855.999999999916,0.8254624933806134,3.088030862661654e-07,2.442136672343938e-07,5.671607623932518e-07,2.1847129726829564e-07,0.905935848797172,0.07423616536077493,29339.65487354921,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,8954.399999999916,0.8260373622996886,3.105732617450405e-07,2.453349968446856e-07,5.715263213464601e-07,2.1847129726829564e-07,0.9065191470136372,0.07388502438691606,29340.744364714617,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9052.799999999914,0.8266075836646741,3.123458226693746e-07,2.464574994396257e-07,5.758991155883703e-07,2.1847129726829564e-07,0.9070999143139689,0.07353566815715434,29341.806363681724,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9151.199999999913,0.8271666177707864,3.1412277676960595e-07,2.4758365704436613e-07,5.802792556705652e-07,2.1847129726829564e-07,0.9076751208050328,0.07319098401926953,29342.83740146133,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9249.599999999913,0.8277207875073421,3.159026425175517e-07,2.4871116958676245e-07,5.846685342407085e-07,2.1847129726829564e-07,0.9082477268683573,0.07284809483984395,29343.838230783596,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9347.99999999991,0.828266626002242,3.176866617672733e-07,2.4984139679312407e-07,5.890677216638702e-07,2.1847129726829564e-07,0.908816126071505,0.07250851439473553,29344.806891076354,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9446.39999999991,0.8288055631605435,3.194742551731433e-07,2.509740772305912e-07,5.934749669433514e-07,2.1847129726829564e-07,0.9093811478298585,0.07217165132345464,29345.750907064823,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9544.79999999991,0.8293390943639349,3.212649359785406e-07,2.5210858750068e-07,5.978903298899828e-07,2.1847129726829564e-07,0.9099434355813694,0.07183687672292773,29346.671977064627,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9643.199999999908,0.8298636635018469,3.2306046917825744e-07,2.5324657806157654e-07,6.02316033644981e-07,2.1847129726829564e-07,0.910501470929105,0.0715056067840051,29347.56415158813,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9741.599999999908,0.830384648539937,3.248590263506028e-07,2.543855927646407e-07,6.067527606944512e-07,2.1847129726829564e-07,0.9110574513221876,0.07117559900690934,29348.43129392808,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9839.999999999907,0.8308956194701864,3.2666285468405726e-07,2.5552901759686345e-07,6.111982030328325e-07,2.1847129726829564e-07,0.9116089701498135,0.07084953966620126,29349.275400161216,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,9938.399999999905,0.8314044776700401,3.2846888144185537e-07,2.566730083572194e-07,6.156523737803991e-07,2.1847129726829564e-07,0.9121591848217537,0.07052418612047047,29350.101836718342,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10036.799999999905,0.8319029665247911,3.3028122964726025e-07,2.578217288703245e-07,6.201192327550033e-07,2.1847129726829564e-07,0.9127047244124771,0.07020281346375182,29350.89985922598,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10135.199999999904,0.8323992093107643,3.3209624757648777e-07,2.589710909887148e-07,6.245968739275796e-07,2.1847129726829564e-07,0.9132488160602424,0.06988218838801985,29351.679053486405,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10233.599999999904,0.8328864182504936,3.3391677067294973e-07,2.6012502992894686e-07,6.290837336489613e-07,2.1847129726829564e-07,0.9137890593243345,0.0695650242879288,29352.438730230464,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10331.999999999902,0.8333712644137883,3.3573996191246913e-07,2.612798082634551e-07,6.335805765085252e-07,2.1847129726829564e-07,0.9143278754440813,0.06924867082842234,29353.18203799951,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10430.399999999901,0.8338470583916154,3.375698493530918e-07,2.6243922112047555e-07,6.380923622835565e-07,2.1847129726829564e-07,0.9148626109929705,0.06893569378479605,29353.89942869114,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10528.799999999901,0.8343207671041697,3.394023014778714e-07,2.635994306883003e-07,6.426137846361558e-07,2.1847129726829564e-07,0.9153960489244072,0.0686234423214604,29354.60307022527,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10627.199999999899,0.8347860066142161,3.4124062292233787e-07,2.6476458215563605e-07,6.47144785989145e-07,2.1847129726829564e-07,0.9159260379691181,0.06831435140035065,29355.289904909936,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10725.599999999899,0.8352493445058,3.4308222288115804e-07,2.659302046590143e-07,6.516902957697328e-07,2.1847129726829564e-07,0.9164544949373292,0.06800589811807406,29355.958133735974,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10823.999999999898,0.8357037066680306,3.4493069272176697e-07,2.6710136892649786e-07,6.562479879028435e-07,2.1847129726829564e-07,0.9169792712146223,0.06770075292498923,29356.607925583656,,,,,,,,
dis_r0.65_G150_T1500,disabled,fast,10922.399999999896,0.8361572902532579,3.46781142817203e-07,2.682725331939814e-07,6.608155813100892e-07,2.1847129726829564e-07,0.91750316532519,0.06739586708521984,29357.246466436845,,,,,,,,
