case_id,path,t_s,T_C,rho,G_mean,G50,G90,pore_D50,pore_D90,large_pore_fraction,connected_fine_pore_fraction,cumulative_PR_desintering_work,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore,sigma_res_crack_like,rho_dot,G_mean_dot_nm_s
C091,reference,35280.00000003209,613.0000000005348,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7511356196228909,0.16164063122720124,28.293798288788988,7.766395933303382e-13,7.766395933303382e-13,49999155.298994645,99998310.59798929,-4.336808689942018e-19,0.0
C091,reference,35400.000000032196,615.0000000005366,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7512793392204478,0.16156879166493882,29.99404171219691,8.846084888467667e-13,8.846084888467667e-13,49999103.52002507,99998207.04005013,0.0,0.0
C091,reference,35520.000000032305,617.0000000005384,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7514230968805407,0.16149693419235905,31.788210743875716,1.0070078654674512e-12,1.0070078654674512e-12,49999048.81271639,99998097.62543277,4.336808689942018e-19,0.0
C091,reference,35640.000000032414,619.0000000005402,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7515668930462144,0.1614250586444292,33.68102242913768,1.1456883040951278e-12,1.1456883040951278e-12,49998991.02574843,99997982.05149686,0.0,0.0
C091,reference,35760.00000003252,621.0000000005421,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7517107281801414,0.16135316484885454,35.677405901582624,1.3027275874950222e-12,1.3027275874950222e-12,49998930.00074708,99997860.00149415,0.0,0.0
C091,reference,35880.00000003263,623.0000000005439,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7518546027653946,0.16128125262579346,37.782510728688806,1.4804573375248154e-12,1.4804573375248154e-12,49998865.571992904,99997731.14398581,-4.336808689942018e-19,0.0
C091,reference,36000.00000003274,625.0000000005457,0.65,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7519985173062438,0.1612093217875628,40.001715534062825,1.6814926258797222e-12,1.6814926258797222e-12,49998797.566119336,99997595.13223867,0.0,0.0
C091,reference,36120.00000003285,627.0000000005475,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7521424723289817,0.1611373721383339,42.340636903483976,1.9087648733281436e-12,1.9087648733281436e-12,49998725.80180016,99997451.60360032,4.336808689942018e-19,0.0
C091,reference,36240.00000003296,629.0000000005493,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7522864683827739,0.16106540347381815,44.8051385819872,2.1655583839460668e-12,2.1655583839460668e-12,49998650.08942599,99997300.17885198,0.0,0.0
C091,reference,36360.00000003307,631.0000000005512,0.6500000000000001,1.5000000000000002e-07,1.5000000000000002e-07,1.5000000000000002e-07,7.390387291412669e-08,2.0597671439071183e-07,0.7524305060405391,0.1609934155809432,47.401340969337674,2.4555508953602204e-12,2.4555508953602204e-12,49998570.23076941,99997140.46153882,0.0,0.0
