mode,protocol,t_s,T_C,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_clean_GB,sigma_iso,sigma_act_total
evolving,fast_20,756.0000000000089,277.00000000000296,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,768.0000000000095,281.0000000000032,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,780.0000000000102,285.0000000000034,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,792.0000000000109,289.00000000000364,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,804.0000000000116,293.00000000000387,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,816.0000000000123,297.0000000000041,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,828.000000000013,301.0000000000043,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,840.0000000000136,305.00000000000455,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,852.0000000000143,309.0000000000048,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,864.000000000015,313.000000000005,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,876.0000000000157,317.00000000000523,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,888.0000000000164,321.00000000000546,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,900.000000000017,325.0000000000057,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,912.0000000000177,329.0000000000059,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,924.0000000000184,333.00000000000614,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,936.0000000000191,337.00000000000637,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,948.0000000000198,341.0000000000066,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,960.0000000000205,345.0000000000068,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,972.0000000000211,349.00000000000705,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,984.0000000000218,353.0000000000073,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,996.0000000000225,357.0000000000075,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1008.0000000000232,361.00000000000773,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1020.0000000000239,365.00000000000796,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1032.0000000000246,369.0000000000082,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1044.0000000000243,373.0000000000081,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1056.000000000023,377.0000000000076,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1068.0000000000216,381.00000000000716,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1080.0000000000202,385.0000000000067,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1092.0000000000189,389.00000000000625,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1104.0000000000175,393.0000000000058,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
evolving,fast_20,1116.0000000000161,397.00000000000534,0.7,26666666.666666668,10820341.819365002,12733010.31011305,15846324.847301666,2666666.6666666665,46809837.814289406
