parameter_id,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total
nominal_persistent,0.8012665682600771,24527236.872157257,5520845.137289902,10642666.652279884,40239061.84023497
nominal_persistent,0.8061919434251124,24303118.32115007,5275819.178617399,10486721.509383729,39734814.54325262
nominal_persistent,0.8110800820828307,24058377.664981175,5035704.7115791915,10326256.473759959,39205140.74259993
nominal_persistent,0.8156649188727896,23811800.811057493,4813538.2853434095,10169538.033369752,38684245.878225885
nominal_persistent,0.8199497164261125,23565557.72895047,4608793.31515996,10017381.972731348,38175176.04388017
nominal_persistent,0.8239670864800963,23319477.41351574,4419438.09721562,9869717.461272603,37676916.90996664
nominal_persistent,0.8277447276322576,23073456.08270605,4243813.583920964,9726360.685092919,37188540.348975495
nominal_persistent,0.831306416726938,22827431.950084273,4080511.2665922563,9587105.258303769,36709231.45886429
nominal_persistent,0.8346726958660466,22581375.788870182,3928307.258757513,9451759.391232716,36238294.86807606
nominal_persistent,0.8378614128729696,22335284.61579322,3786133.2564334027,9320144.856044997,35775136.031586535
nominal_persistent,0.8408881568175313,22089176.756309904,3653052.7586225565,9192095.89518105,35319245.9022042
nominal_persistent,0.8437666115726363,21843087.92637726,3528241.4806472617,9067458.12758825,34870188.248674
nominal_persistent,0.8465088448146678,21597068.0732522,3410971.130959151,8946087.489566458,34427589.07609037
nominal_persistent,0.8491255457864877,21351178.790825482,3300595.9025548534,8827849.234264227,33991127.73572747
nominal_persistent,0.8516262220981347,21105491.175613772,3196541.1680085934,8712617.004580105,33560529.406864166
nominal_persistent,0.8540193635560218,20860084.025164682,3098293.9732018835,8600271.987367878,33135558.703367222
