parameter_id,rho,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery
nominal_tj_q0,0.7000000000000002,0.0,3.997355705199822e-13,0.0
nominal_tj_q0,0.7000000000000002,0.0,6.258877458814327e-13,0.0
nominal_tj_q0,0.7000000000000002,0.0,9.739117381827603e-13,0.0
nominal_tj_q0,0.7000000000000003,0.0,1.506253402440041e-12,0.0
nominal_tj_q0,0.7000000000000005,0.0,2.315719938486716e-12,0.0
nominal_tj_q0,0.7000000000000007,0.0,3.539454812234549e-12,0.0
nominal_tj_q0,0.7000000000000012,0.0,5.37898604378007e-12,0.0
nominal_tj_q0,0.7000000000000018,0.0,8.128832208476669e-12,0.0
nominal_tj_q0,0.7000000000000028,0.0,1.2217103528453554e-11,0.0
nominal_tj_q0,0.7000000000000044,0.0,1.826282982411509e-11,0.0
nominal_tj_q0,0.7000000000000066,0.0,2.7156496405476453e-11,0.0
nominal_tj_q0,0.7000000000000102,0.0,4.0172621621676097e-11,0.0
nominal_tj_q0,0.7000000000000157,0.0,5.912635880101991e-11,0.0
nominal_tj_q0,0.7000000000000237,0.0,8.659030065819212e-11,0.0
nominal_tj_q0,0.7000000000000358,0.0,1.2619322809853045e-10,0.0
