audit_case,t_s,T_C,rho,phi_open,phi_precursor,phi_closed,PR_coarsening_flux,PR_to_precursor_flux,precursor_to_closed_flux,closure_rate
resolved_M0_factor_0p3,4178.531317792083,1100.0,0.8515552343217714,0.1479725628956207,6.921165297803523e-05,0.00040299112962989466,6.02442063121938e-10,8.084671939755761e-08,5.606937783415549e-07,5.606937783415549e-07
resolved_M0_factor_0p3,4298.531317792083,1100.0,0.8517029178518645,0.14774790020595033,7.887489380836076e-05,0.00047030704837688436,6.000334589356365e-10,8.08242788337384e-08,5.609800902921959e-07,5.609800902921959e-07
resolved_M0_factor_0p3,4418.531317792083,1100.0,0.8518497422510481,0.14752407124864,8.853033295049884e-05,0.0005376561673613335,5.976435746027217e-10,8.080142001780658e-08,5.612596948685501e-07,5.612596948685501e-07
resolved_M0_factor_0p3,4538.531317792083,1100.0,0.8519957157929828,0.14730106864260734,9.817790636123864e-05,0.0006050376580485759,5.95272179781825e-10,8.077814878889555e-08,5.615326685991993e-07,5.615326685991993e-07
resolved_M0_factor_0p3,4658.531317792083,1100.0,0.8521408466415322,0.14707888510648054,0.00010781755091340315,0.0006724507010738192,5.929190479565854e-10,8.075447088956487e-08,5.617990870156171e-07,5.617990870156171e-07
resolved_M0_factor_0p3,4778.531317792083,1100.0,0.8522851428523974,0.1468575134570957,0.00011744920438200059,0.0007398944861248995,5.90583956358284e-10,8.073039196775683e-08,5.620590246665902e-07,5.620590246665902e-07
resolved_M0_factor_0p3,4898.531317792083,1100.0,0.8524286123751965,0.1466369466075462,0.00012707280543063345,0.0008073682118266593,5.882666858895879e-10,8.070591757869737e-08,5.623125551319063e-07,5.623125551319063e-07
resolved_M0_factor_0p3,5018.531317792083,1100.0,0.852571263054936,0.1464171775658387,0.00013668829359816248,0.0008748710856271034,5.859670210486912e-10,8.068105318677837e-08,5.625597510372026e-07,5.625597510372026e-07
resolved_M0_factor_0p3,5138.531317792083,1100.0,0.8527131026341146,0.14619819943291473,0.0001462956092856168,0.0009424023236850907,5.836847498569951e-10,8.065580416736525e-08,5.628006840669913e-07,5.628006840669913e-07
resolved_M0_factor_0p3,5258.531317792083,1100.0,0.8528541387541295,0.14598000540136732,0.00015589469374334837,0.0010099611507597892,5.814196637859418e-10,8.063017580859694e-08,5.630354249793502e-07,5.630354249793502e-07
resolved_M0_factor_0p3,5378.531317792083,1100.0,0.8529943789570327,0.14576258875380735,0.00016548548905842133,0.0010775468001016251,5.791715576895385e-10,8.060417331310962e-08,5.632640436185558e-07,5.632640436185558e-07
resolved_M0_factor_0p3,5498.531317792083,1100.0,0.853133830687066,0.1455459428614469,0.00017506793814223447,0.0011451585133448478,5.769402297360534e-10,8.05778017997404e-08,5.634866089285962e-07,5.634866089285962e-07
resolved_M0_factor_0p3,5618.531317792083,1100.0,0.853272501292448,0.14533006118243202,0.00018464198471836927,0.001212795540401604,5.747254813415045e-10,8.055106630518205e-08,5.637031889659611e-07,5.637031889659611e-07
resolved_M0_factor_0p3,5738.531317792083,1100.0,0.8534103980268475,0.1451149372604842,0.00019420757331066108,0.0012804571393576155,5.725271171037111e-10,8.052397178561304e-08,5.639138509130164e-07,5.639138509130164e-07
resolved_M0_factor_0p3,5858.531317792083,1100.0,0.853547528050925,0.14490056472347415,0.0002037646492314864,0.0013481425763693293,5.703449447398147e-10,8.049652311827627e-08,5.641186610904074e-07,5.641186610904074e-07
resolved_M0_factor_0p3,5978.531317792083,1100.0,0.8536838984337538,0.1446869372821134,0.00021331315857026333,0.0014158511255625535,5.681787750249127e-10,8.046872510302652e-08,5.643176849695507e-07,5.643176849695507e-07
resolved_M0_factor_0p3,6098.531317792083,1100.0,0.8538195161543958,0.1444740487284895,0.00022285304818215837,0.0014835820689325264,5.660284217319218e-10,8.044058246383869e-08,5.645109871846937e-07,5.645109871846937e-07
resolved_M0_factor_0p3,6218.531317792083,1100.0,0.8539543881034479,0.1442618929346296,0.0002323842656769981,0.001551334696245452,5.638937015712594e-10,8.041209985028928e-08,5.646986315452857e-07,5.646986315452857e-07
resolved_M0_factor_0p3,6338.531317792083,1100.0,0.8540885210842031,0.14405046385144704,0.00024190675940837918,0.0016191083049415028,5.617744341338407e-10,8.038328183900371e-08,5.648806810481459e-07,5.648806810481459e-07
resolved_M0_factor_0p3,6458.531317792083,1100.0,0.8542219218141466,0.14383975550735134,0.0002514204784629727,0.0016869022000391182,5.596704418364885e-10,8.035413293505679e-08,5.650571978885291e-07,5.650571978885291e-07
resolved_M0_factor_0p3,6578.531317792083,1100.0,0.8543545969266008,0.14362976200670852,0.0002609253726500196,0.001754715694040705,5.575815498646028e-10,8.032465757335615e-08,5.65228243471965e-07,5.65228243471965e-07
resolved_M0_factor_0p3,6698.531317792083,1100.0,0.8544865529716359,0.1434204775290333,0.00027042139249101307,0.001822548106839811,5.555075861184743e-10,8.02948601199997e-08,5.653938784263489e-07,5.653938784263489e-07
resolved_M0_factor_0p3,6818.531317792083,1100.0,0.8546177964175793,0.14321189632758163,0.0002799084892095625,0.0018903987656294701,5.534483811633725e-10,8.026474487357746e-08,5.655541626120609e-07,5.655541626120609e-07
resolved_M0_factor_0p3,6938.531317792083,1100.0,0.8547483336524954,0.14300401272797128,0.0002893866147214371,0.0019582670048119144,5.514037681756237e-10,8.02343160664669e-08,5.657091551335099e-07,5.657091551335099e-07
resolved_M0_factor_0p3,7058.531317792083,1100.0,0.8548781709850328,0.14279682112743267,0.0002988557216247844,0.0020261521659096808,5.493735828932415e-10,8.020357786609762e-08,5.658589143504795e-07,5.658589143504795e-07
resolved_M0_factor_0p3,7178.531317792083,1100.0,0.8550073146460344,0.14259031599329733,0.00030831576319051933,0.002094053597477811,5.47357663568387e-10,8.017253437616907e-08,5.66003497887796e-07,5.66003497887796e-07
resolved_M0_factor_0p3,7298.531317792083,1100.0,0.8551357707896,0.14238449186202962,0.00031776669335288263,0.002161970655017451,5.453558509173553e-10,8.014118963786593e-08,5.661429626467936e-07,5.661429626467936e-07
resolved_M0_factor_0p3,7418.531317792083,1100.0,0.8552635454943049,0.14217934333810425,0.00032720846670016175,0.002229902700890624,5.43367988074939e-10,8.010954763102994e-08,5.662773648153091e-07,5.662773648153091e-07
resolved_M0_factor_0p3,7538.531317792083,1100.0,0.8553906447643937,0.14197486509290444,0.0003366410384655742,0.0022978491042362323,5.413939205484062e-10,8.007761227531159e-08,5.664067598779716e-07,5.664067598779716e-07
resolved_M0_factor_0p3,7658.531317792083,1100.0,0.8555170745308704,0.14177105186372396,0.00034606436451830767,0.0023658092408872637,5.394334961729643e-10,8.004538743129615e-08,5.665312026263175e-07,5.665312026263175e-07
resolved_M0_factor_0p3,7778.531317792083,1100.0,0.855642840652653,0.14156789845270318,0.0003554784013547141,0.0024337824932891524,5.374865650684038e-10,8.0012876901603e-08,5.666507471685642e-07,5.666507471685642e-07
resolved_M0_factor_0p3,7898.531317792083,1100.0,0.8557679489177902,0.14136539972570092,0.0003648831060896564,0.002501768250419303,5.355529795955592e-10,7.998008443196314e-08,5.667654469394351e-07,5.667654469394351e-07
resolved_M0_factor_0p3,8018.531317792083,1100.0,0.8558924050444086,0.14116355061143568,0.00037427843644800135,0.0025697659077078038,5.336325943144601e-10,7.994701371227465e-08,5.668753547100264e-07,5.668753547100264e-07
resolved_M0_factor_0p3,8138.531317792083,1100.0,0.8560162146818082,0.14096234610047634,0.00038366435075625876,0.002637774866959221,5.317252659444263e-10,7.991366837762965e-08,5.669805225969395e-07,5.669805225969395e-07
