growth_mode,G0_nm,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,rho1,G1_nm,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,n_success_T2,minimum_required_growth_tolerance
baseline,450.0,1350.0,0.85,0.9,0.05,True,0.85,453.394837533326,1175.0,1150.0,nan,nan,nan,0,0.05866617285929503
baseline,450.0,1350.0,0.85,0.9,0.1,True,0.85,453.394837533326,1175.0,1175.0,1175.0,1175.0,0.0,1,0.05866617285929503
baseline,600.0,1250.0,0.75,0.9,0.05,True,0.7500000000000001,600.1488756025766,1200.0,1175.0,nan,nan,nan,0,0.06863239070174237
baseline,600.0,1250.0,0.75,0.9,0.1,True,0.7500000000000001,600.1488756025766,1200.0,1200.0,1200.0,1200.0,0.0,1,0.06863239070174237
baseline,600.0,1250.0,0.8,0.9,0.05,True,0.8008422568884828,600.5485803096831,1175.0,1175.0,1175.0,1175.0,0.0,1,0.04356315199737853
baseline,600.0,1250.0,0.8,0.9,0.1,True,0.8008422568884828,600.5485803096831,1175.0,1200.0,1175.0,1200.0,25.0,2,0.04356315199737853
baseline,600.0,1250.0,0.85,0.9,0.05,True,0.850393232376532,602.2168844465132,1175.0,1175.0,1175.0,1175.0,0.0,1,0.048543758822228396
baseline,600.0,1250.0,0.85,0.9,0.1,True,0.850393232376532,602.2168844465132,1175.0,1200.0,1175.0,1200.0,25.0,2,0.048543758822228396
baseline,600.0,1300.0,0.75,0.9,0.05,True,0.7509999999999997,600.1792418025866,1200.0,1175.0,nan,nan,nan,0,0.06872053917974015
baseline,600.0,1300.0,0.75,0.9,0.1,True,0.7509999999999997,600.1792418025866,1200.0,1200.0,1200.0,1200.0,0.0,1,0.06872053917974015
baseline,600.0,1300.0,0.8,0.9,0.05,True,0.8009999999999997,600.6125412369057,1175.0,1175.0,1175.0,1175.0,0.0,1,0.043571148058242935
baseline,600.0,1300.0,0.8,0.9,0.1,True,0.8009999999999997,600.6125412369057,1175.0,1200.0,1175.0,1200.0,25.0,2,0.043571148058242935
baseline,600.0,1300.0,0.85,0.9,0.05,True,0.8509999999999998,602.377100612443,1175.0,1175.0,1175.0,1175.0,0.0,1,0.048578271044211155
baseline,600.0,1300.0,0.85,0.9,0.1,True,0.8509999999999998,602.377100612443,1175.0,1200.0,1175.0,1200.0,25.0,2,0.048578271044211155
baseline,600.0,1350.0,0.75,0.9,0.05,True,0.75,600.2161891216936,1200.0,1175.0,nan,nan,nan,0,0.06861825110410252
