material_id,ablation_mode,path,t_h,T_C,rho,G_nm,tau_nuc,tau_exchange,tau_transport,activity,rho_dot,G_dot,cumulative_growth_before_activation_nm,cumulative_growth_during_densification_nm,PR_exposure,pore_D50_nm,pore_D90_nm,connected_fine
E0142,transport_only,fast,0.33346947723501424,1025.4084317050429,0.907075364789301,75.00037986902015,17815.673427776743,1.43214355004906,0.0034033719239433516,421.8013646623999,0.22422003521741227,7.789780344027158e-13,0.0,0.0003798690201342465,295.3202432705855,31.729490546762992,53.888774341229976,0.3815520863222652
E0142,transport_only,fast,0.33347198004230866,1025.415940126926,0.909075364789301,75.00038688818812,17644.83810350017,1.4319556559580042,0.0034027164774881056,421.8272024518122,0.21826378655418793,7.791239850469217e-13,0.0,0.0003868881881049537,295.3202432705873,31.729490546762992,53.888774341229976,0.371344891473441
E0142,transport_only,fast,0.33347455180616425,1025.4236554184927,0.911075364789301,75.00039410211131,17470.156277337865,1.4317626130102947,0.003402043111897898,421.8537534409895,0.21232043094107822,7.792739835898522e-13,0.0,0.00039410211130396357,295.3202432705892,31.729490546762992,53.888774341229976,0.36116162979914423
E0142,transport_only,fast,0.33347719626900707,1025.4315888070212,0.913075364789301,75.00040152140197,17291.494085399707,1.4315641426266863,0.003401350858949417,421.8810563779524,0.20639057498483399,7.794282505519457e-13,0.0,0.0004015214019556094,295.3202432705912,31.729490546762992,53.888774341229976,0.3510033797518646
E0142,transport_only,fast,0.3334799174775909,1025.4397524327728,0.915075364789301,75.00040915753786,17108.711071606893,1.4313599436272992,0.003400638671948621,421.9091531641928,0.20047486282186291,7.795870244375422e-13,0.0,0.0004091575378460172,295.32024327059327,31.729490546762992,53.888774341229976,0.34087128563281094
E0142,transport_only,fast,0.3334827198162605,1025.4481594487816,0.917075364789301,75.00041702295721,16921.659712162087,1.4311496897662657,0.0033999054171783044,421.9380891995592,0.19457397891959008,7.797505637052233e-13,0.0,0.00041702295720403134,295.3202432705953,31.729490546762992,53.888774341229976,0.33076656248532577
E0142,transport_only,fast,0.33348560804482436,1025.4568241344732,0.919075364789301,75.00042513116676,16730.184889986598,1.4309330269252287,0.003399149864162771,421.9679137750154,0.18868865113485722,7.799191490118836e-13,0.0,0.0004251311667508542,295.32024327059736,31.729490546762992,53.888774341229976,0.32069050143705324
E0142,transport_only,fast,0.33348858734182163,1025.465762025465,0.921075364789301,75.0004334968651,16534.123312507905,1.4307095699078716,0.0033983706745498677,421.9986805213286,0.18281965406184825,7.800930857770033e-13,0.0,0.00043349686508892417,295.3202432705995,31.729490546762992,53.888774341229976,0.31064447554756836
E0142,transport_only,fast,0.33349166335412067,1025.474990062362,0.923075364789301,75.00044213608427,16333.302865283353,1.4304788987661037,0.0033975663893697204,422.0304479234828,0.17696781270816117,7.802727071230717e-13,0.0,0.0004421360842622969,295.3202432706018,31.729490546762992,53.888774341229976,0.300629946228762
E0142,transport_only,fast,0.33349484225398535,1025.4845267619562,0.925075364789301,75.0004510663527,16127.541892965139,1.4302405545742156,0.0033967354143803782,422.06327991257916,0.17113400654522548,7.804583772595913e-13,0.0,0.0004510663526913734,295.32024327060407,31.729490546762992,53.888774341229976,0.2906484703184854
E0142,transport_only,fast,0.33349813080498697,1025.4943924149609,0.927075364789301,75.0004603068834,15916.648398032215,1.4299940345490463,0.0033958760031474323,422.0972465495416,0.16531917398886267,7.806504953928543e-13,0.0,0.00046030688338626833,295.32024327060634,31.729490546762992,53.888774341229976,0.28070170790446697
E0142,transport_only,fast,0.3335015364384435,1025.5046093153305,0.929075364789301,75.00046987879226,15700.41914657934,1.4297387863921707,0.0033949862374281093,422.132424818098,0.15952431737774117,7.808495002615559e-13,0.0,0.00046987879225631694,295.3202432706087,31.729490546762992,53.888774341229976,0.2707914310162725
E0142,transport_only,fast,0.3335050673424504,1025.5152020273513,0.931075364789301,75.00047980535257,15478.638669262651,1.429474201701924,0.0033940640043328162,422.1688995484695,0.15375050853264127,7.810558754211384e-13,0.0,0.0004798053525640663,295.32024327061123,31.729490546762992,53.888774341229976,0.2609195333292516
E0142,transport_only,fast,0.33350873256605107,1025.5261976981533,0.933075364789301,75.0004901122927,15251.078144299228,1.4291996082670106,0.003393106969612947,422.2067644982144,0.14799889499867852,7.8127015542885e-13,0.0,0.0004901122926838265,295.32024327061373,31.729490546762992,53.888774341229976,0.2510880410575154
E0142,transport_only,fast,0.3335125421417124,1025.5376264251372,0.935075364789301,75.00050082814629,15017.494148280892,1.428914261008595,0.003392112546267488,422.246123623139,0.1422707070969726,7.814929331180994e-13,0.0,0.0005008281462703845,295.32024327061634,31.729490546762992,53.888774341229976,0.2412991252549938
E0142,transport_only,fast,0.3335165072300653,1025.549521690196,0.937075364789301,75.00051198466637,14777.627259571198,1.4286173312787902,0.003391077857457864,422.2870925793958,0.13656726594335242,7.817248681982822e-13,0.0,0.0005119846663654714,295.3202432706191,31.729490546762992,53.888774341229976,0.23155511579703092
E0142,transport_only,fast,0.33352064029189554,1025.5619208756866,0.939075364789301,75.00052361731753,14531.200498353986,1.428307894148231,0.0033899996924598324,422.32980050857475,0.13088999263130932,7.819666974775021e-13,0.0,0.0005236173175106698,295.3202432706218,31.729490546762992,53.888774341229976,0.22185851738310414
E0142,transport_only,fast,0.3335249552937109,1025.5748658811326,0.941075364789301,75.00053576586431,14277.917587198557,1.4279849132166815,0.003388874454040299,422.37439217147835,0.12524041882715262,7.822192470857158e-13,0.0,0.0005357658643029632,295.3202432706247,31.729490546762992,53.888774341229976,0.21221202798832256
E0142,transport_only,fast,0.33352946795497806,1025.5884038649342,0.943075364789301,75.00054847507944,14017.461016581365,1.427647222350783,0.0033876980951967873,422.4210305147787,0.11962019909052088,7.824834471815313e-13,0.0,0.0005484750794348708,295.32024327062766,31.729490546762992,53.888774341229976,0.202618560303009
E0142,transport_only,fast,0.33353419604746415,1025.6025881423925,0.945075364789301,75.00056179560146,13749.489901586787,1.427293503580662,0.0033864660426032142,422.469899778911,0.11403112531717474,7.827603497660631e-13,0.0,0.000561795601447655,295.3202432706307,31.729490546762992,53.888774341229976,0.19308126684322197
E0142,transport_only,fast,0.3335391597602712,1025.6174792808138,0.947075364789301,75.00057578498112,13473.637619575507,1.4269222601556528,0.003385173103303927,422.52120928852275,0.10847514380942846,7.830511504158898e-13,0.0,0.0005757849811081798,295.3202432706339,31.729490546762992,53.888774341229976,0.18360356960035135
E0142,transport_only,fast,0.33354438214842186,1025.6331464452655,0.949075364789301,75.000590508968,13189.509224821753,1.4265317834456406,0.0033838133501148146,422.57519811110075,0.1029543756201229,7.833572150029567e-13,0.0,0.0005905089679857817,295.3202432706372,31.729490546762992,53.888774341229976,0.17418919533805352
E0142,transport_only,fast,0.3335498896887182,1025.6496690661547,0.951075364789301,75.00060604310556,12896.678646190236,1.4261201119439348,0.003382379979702007,422.6321408304865,0.09747114099943407,7.836801128207908e-13,0.0,0.0006060431055476599,295.3202432706406,31.729490546762992,53.888774341229976,0.16484221795759865
E0142,transport_only,fast,0.33355571297474373,1025.6671389242313,0.953075364789301,75.00062247472655,12594.685689635675,1.4256849800299065,0.003380865135244846,422.6923547666615,0.09202798901436848,7.840216580246563e-13,0.0,0.0006224747265435058,295.32024327064426,31.729490546762992,53.888774341229976,0.15556710976268703
E0142,transport_only,fast,0.333561887594349,1025.685662783047,0.955075364789301,75.00063990547388,12283.032891234514,1.4252237533080205,0.0033792596826830524,422.7562090926456,0.08662773372880138,7.843839619820892e-13,0.0,0.0006399054738681989,295.320243270648,31.729490546762992,53.888774341229976,0.14636880399597066
E0142,transport_only,fast,0.33356845524935236,1025.7053657480571,0.957075364789301,75.00065845451921,11961.182302481157,1.4247333461388347,0.0033775529254010867,422.82413646994047,0.0812734987556947,7.847695001137968e-13,0.0,0.0006584545192075963,295.3202432706519,31.729490546762992,53.888774341229976,0.1372527717399391
E0142,transport_only,fast,0.3335754652009677,1025.7263956029033,0.959075364789301,75.00067826272084,11628.552343431262,1.4242101152349176,0.0033757322361889844,422.89664807146323,0.07596877256347433,7.851811982345159e-13,0.0,0.0006782627208321042,295.32024327065596,31.729490546762992,53.888774341229976,0.12822511724311478
E0142,transport_only,fast,0.33358297615958926,1025.7489284787678,0.961075364789301,75.0006994980635,11284.514939752198,1.4236497206244705,0.0033737825764487473,422.97435322670026,0.07071747769462021,7.856225455148373e-13,0.0,0.0006994980634937271,295.3202432706603,31.729490546762992,53.888774341229976,0.11929269704825629
E0142,transport_only,fast,0.3335910587903789,1025.7731763711367,0.963075364789301,75.00072236287637,10928.393280310389,1.4230469414207247,0.003371685859285563,423.05798547384796,0.06552405812345366,7.860977443644839e-13,0.0,0.000722362876364389,295.3202432706648,31.729490546762992,53.888774341229976,0.11046327010892702
E0142,transport_only,fast,0.3335997990872204,1025.7993972616614,0.965075364789301,75.0007471035609,10559.460713695282,1.4223954279064022,0.003369420092677251,423.148437648867,0.06039359047213244,7.866119124243308e-13,0.0,0.0007471035608916947,295.32024327066955,31.729490546762992,53.888774341229976,0.1017456886028622
E0142,transport_only,fast,0.3336093029950512,1025.8279089851537,0.967075364789301,75.00077402392995,10176.941578374051,1.4216873621335802,0.0033669582068269013,423.24680996958705,0.055331926916499324,7.87171359541058e-13,0.0,0.0007740239299399579,295.3202432706746,31.729490546762992,53.888774341229976,0.09315014271552685
E0142,transport_only,fast,0.333619702865961,1025.8591085978828,0.969075364789301,75.00080350385755,9780.015185633854,1.4209129842531611,0.003364266418166127,423.3544772139971,0.050345880649904765,7.877839749989219e-13,0.0,0.000803503857549876,295.32024327067995,53.888774341229976,53.888774341229976,0.08468847778173721
E0142,transport_only,fast,0.3336311666749352,1025.8935000248057,0.971075364789301,75.00083602592987,9367.824834534002,1.4200599169692005,0.0033613018969954273,423.4731846426981,0.045443469205946115,7.884597808671048e-13,0.0,0.0008360259298640673,295.32024327068564,53.888774341229976,53.888774341229976,0.07637460962399997
